date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:19	12355/12355	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Apr%202017%2007:10:18%20GMT	https://www.templatemonster.com/demo/46851.html	E:/My%20Web%20Sites/spare/www.templatemonster.com/demo/46851.html	(from )
10:10:22	215/215	---MCZ	200	added ('OK')	text/plain	etag:W/%2258496925-1c3%22	https://www.templatemonster.com/robots.txt		(from )
10:10:24	16438/16438	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-4036%22	https://s.tmimgcdn.com/img/logo-touch/mstile-310x150.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/mstile-310x15051dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:26	51002/51002	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-c73a%22	https://s.tmimgcdn.com/img/logo-touch/mstile-310x310.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/mstile-310x31051dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:28	15323/15323	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-3bdb%22	https://s.tmimgcdn.com/img/logo-touch/mstile-150x150.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/mstile-150x15051dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:28	16496/16496	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-4070%22	https://s.tmimgcdn.com/img/logo-touch/mstile-144x144.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/mstile-144x14451dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:28	997/997	---M--	200	added ('OK')	image/png	etag:%2257ee53c2-3e5%22	https://s.tmimgcdn.com/img/logo-touch/favicon-16x16.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/favicon-16x1651dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:29	2145/2145	---M--	200	added ('OK')	image/png	etag:%2257ee53c2-861%22	https://s.tmimgcdn.com/img/logo-touch/favicon-32x32.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/favicon-32x3251dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:29	9312/9312	---M--	200	added ('OK')	image/png	etag:%2257ee53c2-2460%22	https://s.tmimgcdn.com/img/logo-touch/favicon-96x96.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/favicon-96x9651dc.png	(from https://www.templatemonster.com/demo/46851.html)
10:10:29	2498/2498	---M--	200	added ('OK')	image/png	etag:%2257ecbff4-9c2%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-36.png?d=af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/logo-touch/android-chrome-3651dc.png	(from https://www.templatemonster.com/demo/46851.html)
